ID_DIM_TIEMPO;DTM_ANIO_MES_DIA;ANIO;SEMESTRE;PERIODO;MES;N_MES;DIA;SEMANA_MES
20170101;01/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;1;1
20170102;02/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;2;1
20170103;03/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;3;1
20170104;04/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;4;1
20170105;05/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;5;2
20170106;06/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;6;2
20170107;07/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;7;2
20170108;08/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;8;2
20170109;09/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;9;2
20170110;10/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;10;2
20170111;11/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;11;2
20170112;12/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;12;3
20170113;13/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;13;3
20170114;14/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;14;3
20170115;15/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;15;3
20170116;16/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;16;3
20170117;17/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;17;3
20170118;18/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;18;3
20170119;19/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;19;4
20170120;20/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;20;4
20170121;21/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;21;4
20170122;22/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;22;4
20170123;23/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;23;4
20170124;24/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;24;4
20170125;25/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;25;4
20170126;26/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;26;5
20170127;27/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;27;5
20170128;28/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;28;5
20170129;29/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;29;5
20170130;30/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;30;5
20170131;31/01/2017;2017;PRIMER SEMESTRE;201701;ENE;1;31;5
20170201;01/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;1;1
20170202;02/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;2;2
20170203;03/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;3;2
20170204;04/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;4;2
20170205;05/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;5;2
20170206;06/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;6;2
20170207;07/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;7;2
20170208;08/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;8;2
20170209;09/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;9;3
20170210;10/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;10;3
20170211;11/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;11;3
20170212;12/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;12;3
20170213;13/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;13;3
20170214;14/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;14;3
20170215;15/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;15;3
20170216;16/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;16;4
20170217;17/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;17;4
20170218;18/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;18;4
20170219;19/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;19;4
20170220;20/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;20;4
20170221;21/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;21;4
20170222;22/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;22;4
20170223;23/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;23;5
20170224;24/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;24;5
20170225;25/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;25;5
20170226;26/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;26;5
20170227;27/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;27;5
20170228;28/02/2017;2017;PRIMER SEMESTRE;201702;FEB;2;28;5
20170301;01/03/2017;2017;PRIMER SEMESTRE;201703;MAR;3;1;1
20170302;02/03/2017;2017;PRIMER SEMESTRE;201703;MAR;3;2;1
