ID_DIM_TIEMPO;DTM_ANIO_MES_DIA;ANIO;SEMESTRE;PERIODO;MES;N_MES;DIA;SEMANA_MES
20200101;01/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;1;1
20200102;02/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;2;1
20200103;03/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;3;1
20200104;04/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;4;1
20200105;05/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;5;2
20200106;06/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;6;2
20200107;07/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;7;2
20200108;08/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;8;2
20200109;09/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;9;2
20200110;10/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;10;2
20200111;11/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;11;2
20200112;12/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;12;3
20200113;13/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;13;3
20200114;14/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;14;3
20200115;15/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;15;3
20200116;16/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;16;3
20200117;17/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;17;3
20200118;18/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;18;3
20200119;19/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;19;4
20200120;20/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;20;4
20200121;21/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;21;4
20200122;22/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;22;4
20200123;23/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;23;4
20200124;24/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;24;4
20200125;25/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;25;4
20200126;26/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;26;5
20200127;27/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;27;5
20200128;28/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;28;5
20200129;29/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;29;5
20200130;30/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;30;5
20200131;31/01/2020;2020;PRIMER SEMESTRE;202001;ENE;1;31;5
20200201;01/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;1;1
20200202;02/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;2;2
20200203;03/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;3;2
20200204;04/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;4;2
20200205;05/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;5;2
20200206;06/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;6;2
20200207;07/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;7;2
20200208;08/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;8;2
20200209;09/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;9;3
20200210;10/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;10;3
20200211;11/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;11;3
20200212;12/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;12;3
20200213;13/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;13;3
20200214;14/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;14;3
20200215;15/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;15;3
20200216;16/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;16;4
20200217;17/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;17;4
20200218;18/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;18;4
20200219;19/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;19;4
20200220;20/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;20;4
20200221;21/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;21;4
20200222;22/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;22;4
20200223;23/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;23;5
20200224;24/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;24;5
20200225;25/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;25;5
20200226;26/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;26;5
20200227;27/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;27;5
20200228;28/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;28;5
20200229;29/02/2020;2020;PRIMER SEMESTRE;202002;FEB;2;29;5
20200301;01/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;1;1
20200302;02/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;2;1
20200303;03/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;3;1
20200304;04/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;4;1
20200305;05/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;5;1
20200306;06/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;6;1
20200307;07/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;7;1
20200308;08/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;8;2
20200309;09/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;9;2
20200310;10/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;10;2
20200311;11/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;11;2
20200312;12/03/2020;2020;PRIMER SEMESTRE;202003;MAR;3;12;2
